Ticker,Name
AEM-CT,Agnico Eagle Mines Ltd
CSU-CT,Constellation Software Inc
CP-CT,Canadian Pacific Kansas City Limited
CNR-CT,Canadian National Railway Co.
WPM-CT,Wheaton Precious Metals Corp
AMD-CT,Advanced Micro Devices, Inc. CDR
WCN-CT,Waste Connections Inc
IMO-CT,Imperial Oil Ltd.
CCO-CT,Cameco Corp.
DOL-CT,Dollarama Inc
K-CT,Kinross Gold Corp.
CVE-CT,Cenovus Energy Inc
WSP-CT,WSP Global Inc
CLS-CT,Celestica, Inc. - Ordinary Shares (Subor...
GIB.A-CT,CGI Inc - Ordinary Shares - Class A
LUG-CT,Lundin Gold Inc
SAP-CT,Saputo Inc
CCL.A-CT,CCL Industries Inc. - Ordinary Shares - C...
TIH-CT,Toromont Industries Ltd.
ATRL-CT,Atkinsrealis Group Inc.
CCL.B-CT,CCL Industries Inc. - Ordinary Shares - C...
ATZ-CT,Aritzia Inc - Ordinary Shares (Subordin...
TOI-CV,Topicus.com Inc - Ordinary Shares (Sub...
FSV-CT,FirstService Corp
GIL-CT,Gildan Activewear Inc
AGI-CT,Alamos Gold Inc. - Ordinary Shares - Cla...
DSG-CT,Descartes Systems Group Inc
LMN-CV,Lumine Group Inc - Ordinary Shares (Su...
OR-CT,Osisko Gold Royalties Ltd
IMG-CT,Iamgold Corp.
FTT-CT,Finning International Inc.
BTO-CT,B2gold Corp
CS-CT,Capstone Copper Corp
ARTG-CV,Artemis Gold Inc
TFPM-CT,Triple Flag Precious Metals Corp
AG-CT,First Majestic Silver Corporation
HBM-CT,Hudbay Minerals Inc.
ELD-CT,Eldorado Gold Corp.
SCR-CT,Strathcona Resources Ltd.
GRGD-CT,Groupe Dynamite Inc.
OGC-CT,OceanaGold Corp
WFG-CT,West Fraser Timber Co., Ltd.
EDV-CT,Endeavour Mining Plc
PSK-CT,PrairieSky Royalty Ltd
WCP-CT,Whitecap Resources Inc
HUT-CT,Hut 8 Corp
KXS-CT,Kinaxis Inc
OLA-CT,Orla Mining Ltd
TXG-CT,Torex Gold Resources Inc
POU-CT,Paramount Resources Ltd. - Ordinary Sh...
SES-CT,Secure Energy Services Inc
PRU-CT,Perseus Mining Limited
BB-CT,BlackBerry Ltd
TPZ-CT,Topaz Energy Corp
PDN-CT,Paladin Energy Ltd
FVI-CT,Fortuna Mining Corp.
TVK-CT,TerraVest Industries Inc
WDO-CT,Wesdome Gold Mines Ltd.
ATH-CT,Athabasca Oil Corp
TVE-CT,Tamarack Valley Energy Ltd
NGD-CT,New Gold Inc
IPCO-CT,International Petroleum Corp.
ARIS-CT,Aris Mining Corp
SVM-CT,Silvercorp Metals Inc
MAI-CV,Minera Alamos Inc
WGX-CT,Westgold Resources Limited
RUS-CT,Russel Metals Inc.
IE-CT,Ivanhoe Electric Inc
FRU-CT,Freehold Royalties Ltd
BITF-CT,Bitfarms Ltd.
BDGI-CT,Badger Infrastructure Solutions Ltd
KNT-CT,K92 Mining Inc
SSRM-CT,SSR Mining Inc
CEU-CT,CES Energy Solutions Corp
DCBO-CT,Docebo Inc
HWX-CT,Headwater Exploration Inc
LNF-CT,Leon's Furniture Ltd.
ARE-CT,Aecon Group Inc.
ASE-CV,Asante Gold Corporation
SIS-CT,Savaria Corp.
PXT-CT,Parex Resources Inc
USA-CT,Americas Gold and Silver Corp
PNG-CV,Kraken Robotics Inc
EXE-CT,Extendicare Inc
CJ-CT,Cardinal Energy Ltd
APM-CT,Andean Precious Metals Corp.
ORC.A-CV,Orca Energy Group Inc. - Ordinary Share...
ENGH-CT,Enhouse Systems Ltd
SDE-CT,Spartan Delta Corp.
III-CT,Imperial Metals Corp.
MDI-CT,Major Drilling Group International Inc.
SCZ-CV,Santacruz Silver Mining Ltd
SGML-CV,Sigma Lithium Corporation
ET-CT,Evertz Technologies Limited
BDI-CT,Black Diamond Group Ltd
ORE-CT,Orezone Gold Corp
THX-CV,Thor Explorations Ltd
EU-CV,enCore Energy Corp
NEO-CT,Neo Performance Materials Inc
ALK-CT,Alkane Resources Limited
VHI-CT,Vitalhub Corp
ITR-CV,Integra Resources Corp
CMG-CT,Computer Modelling Group Ltd
MKO-CV,Mako Mining Corp
TCS-CT,Tecsys Inc
MUX-CT,McEwen Mining Inc
TWC-CT,TWC Enterprises Ltd
BLN-CT,Blackline Safety Corp
GUD-CT,Knight Therapeutics Inc
KSI-CT,kneat.com inc
ZDC-CV,Zedcor Inc.
KITS-CT,KITS Eyecare Ltd
ANRG-CT,Anaergia Inc
ECOR-CT,Ecora Resources Plc
ELVA-CT,Electrovaya, Inc.
ARG-CT,Amerigo Resources Ltd
LUCA-CV,Luca Mining Corp
GBT-CT,BMTC Group Inc.
FLT-CV,Drone Delivery Canada Corp - Ordinary...
TBL-CT,Taiga Building Products Ltd
CPH-CT,Cipher Pharmaceuticals Inc
AIDX-CT,Healwell AI Inc. - Ordinary Shares - Class...
SBI-CT,Serabi Gold Plc
TMQ-CT,Trilogy Metals Inc
MXG-CT,Maxim Power Corp
FRX-CT,Fennec Pharmaceuticals Inc
PNPN-CV,Power Nickel Inc
MTA-CV,Metalla Royalty and Streaming Ltd
PNE-CT,Pine Cliff Energy Ltd
ELO-CT,Eloro Resources Ltd
TRX-CT,TRX Gold Corp
